W,N,seed,variant,phi_total,solve_ms,cross_cabin_ratio,cross_layer_ratio,sla,infeas_rate,phi_rep,phi_load,phi_cab,phi_sec
20,50,1,FlatCCF,71.32669763408737,0.6890418007969856,1.0,1.0,0.0,0.0,42.65917683509464,19.011362680602286,1.5561581183904392,8.099999999999998
20,50,1,GreedyByLoad,121.01587643180662,0.27079228311777115,0.9,0.26,6346.5320357778455,0.0,33.96292312916886,43.59623965744789,4.556713645189883,38.9
20,50,1,FirstFit,86.77907005860871,0.4792078398168087,0.94,0.62,32.01180249128345,0.0,39.94204901000313,24.90631540842066,1.9307056401849259,20.0
20,50,1,Random,111.85297119659299,0.2632499672472477,0.88,0.22,3559.1061097265556,0.0,35.68384034306777,38.9285793706585,2.5405514828667215,34.70000000000001
20,50,2,Ours,109.36440403974599,0.8801668882369995,0.72,0.28,6489.116905466165,0.0,35.08277312215908,36.31791238973618,5.013718527850751,32.95
20,50,2,NoRep,104.63729207605748,0.8609169162809849,0.74,0.22,3476.7436847478266,0.0,35.566874819188236,32.69580488305592,4.474612373813317,31.900000000000002
20,50,2,NoPred,114.34832994107076,0.7821251638233662,0.16,0.28,6489.116905466165,0.0,35.08277312215908,42.16498362159299,4.150573197318707,32.95
20,50,2,NoCabin,110.13140771541545,0.8742911741137505,0.88,0.28,6578.265954947459,0.0,35.11089935729129,36.05874400496222,6.011764353161944,32.95
20,50,2,NoSec,107.21315385555549,0.8660000748932362,0.7,0.28,6478.70570159714,0.0,34.78855325319275,35.581179174021855,4.943421428340903,31.9
20,50,2,FlatCCF,70.04718322340752,0.6529157981276512,1.0,1.0,0.0,0.0,42.39884645036976,18.05682063646487,2.1915161365728806,7.399999999999998
20,50,2,GreedyByLoad,121.98672974572638,0.2671247348189354,0.88,0.28,8675.950132436401,0.0,33.25448259297639,45.881562605977926,7.450684546772073,35.4
20,50,2,FirstFit,86.66795596978295,0.4754997789859772,0.9,0.56,66.10195861720234,0.0,39.60717148801916,26.54873278456557,2.9620516971982176,17.55
20,50,2,Random,118.69542646324506,0.26125041767954826,0.9,0.3,7536.213816152102,0.0,34.16181728303805,44.61935267306348,7.6642565071435405,32.25
20,50,3,Ours,119.13510734984057,0.9343340061604977,0.92,0.28,6579.51087479355,0.0,34.818282425633605,35.54865518042028,2.9181697437866605,45.849999999999994
20,50,3,NoRep,115.99480109544197,0.9335828945040703,0.92,0.24,5190.956281801905,0.0,35.1286563314412,34.0052073935532,2.7609373704475506,44.099999999999994
20,50,3,NoPred,126.44792580036517,0.8195829577744007,0.16,0.28,6575.1613071753145,0.0,34.99216916966056,43.7497210574403,1.856035573264297,45.849999999999994
